1.0000000000	a zip tie
1.0000000000	much smaller than
1.0000000000	smaller than
1.0000000000	held together
1.0000000000	zip tie
1.0000000000	do not
1.0000000000	piece of
1.0000000000	a few
1.0000000000	the mesh
1.0000000000	the ball
1.0000000000	the netting
1.0000000000	the first
1.0000000000	the picture
1.0000000000	the net
0.5737914174	money
0.5350594894	product
0.5312458763	balls
0.5115923728	worth
0.5115923728	thought
0.5115923728	squishy
0.5115923728	wrapped
0.5054055927	son
0.4990934434	small
0.4902400075	waste
0.4862432346	color
0.4782749180	squeeze
0.4713315672	minutes
0.4669504807	hand
0.4640204716	stress
0.4618653763	tiny
0.4605879294	size
0.4455202680	days
0.4454397821	cheap
0.4399409918	fun
0.4277162238	daughter
0.4184811372	buy
0.4103176810	popped
0.3738979807	broke
0.3313266524	held
0.3130846085	picture
0.3090065879	zip
0.3083725633	netting
0.3076010665	smaller
0.2933838257	net
0.2853053538	tie
0.2839861165	ball
0.2693798763	mesh
0.2331150239	your
0.2262230047	looks
0.2191621082	because
0.2185569403	two
0.1988331657	we
0.1951920043	these
0.1931321269	an
0.1880044989	at
0.1880044989	only
0.1880044989	by
0.1878631141	would
0.1843733732	2
0.1832763518	made
0.1821737416	came
0.1792901768	what
0.1778013306	had
0.1773739645	old
0.1765603296	me
0.1760611728	were
0.1760083964	even
0.1755470208	over
0.1750549480	get
0.1738491115	are
0.1734738640	or
0.1725820606	got
0.1725820606	off
0.1718562311	good
0.1707537550	well
0.1698484219	also
0.1698300010	really
0.1681455006	like
0.1678261159	that
0.1665464969	within
0.1649287783	to
0.1647551373	then
0.1645746288	if
0.1632662152	one
0.1623565826	just
0.1615325956	you
0.1587729944	so
0.1579281061	with
0.1576255285	took
0.1572684720	very
0.1568178611	its
0.1551149693	don't
0.1522772765	and
0.1522722345	in
0.1505015178	all
0.1504902820	after
0.1504099008	be
0.1494515307	on
0.1485325040	than
0.1480859475	as
0.1477348613	i
0.1473377356	a
0.1458366774	out
0.1455811856	but
0.1450819155	day
0.1444152488	for
0.1411934628	is
0.1402781311	was
0.1374306745	it's
0.1361287986	much
0.1360109885	they
0.1352848869	when
0.1331639123	together
0.1314573927	it
0.1304475915	my
0.1302292146	of
0.1287880677	this
0.1218605823	first
0.1127082442	not
0.1028872211	the
