0.9496666667	wi fi
0.9059333333	e reader
0.8717726190	e book
0.8288440476	water resistant
0.8282607143	page turning buttons
0.8244273810	quality control
0.8193083333	e ink
0.8012607143	physical page turn buttons
0.7913083333	e readers
0.7797607143	auto brightness
0.7734940476	airplane mode
0.7664940476	uneven lighting
0.7645940476	text to speech
0.7614273810	2nd generation
0.7579273810	form factor
0.7564273810	special offers
0.7564273810	black background
0.7554940476	big deal
0.7542440476	leather cover
0.7539273810	touch screen
0.7514273810	2nd gen
0.7461773810	7 inch screen
0.7444273810	bright spot
0.7424105297	apple
0.7409273810	bluetooth headphones
0.7354273810	audiobook capability
0.7344904220	nook
0.7318184244	keyboard
0.7310823504	audiobook
0.7297607143	sharp edges
0.7269273810	customer service
0.7257607143	software update
0.7234273810	highly recommend
0.7226942344	highly
0.7184904383	oasis
0.7164749465	gen
0.7151722156	leather
0.7137704926	airplane
0.7137607143	switch hands
0.7126986448	kindle
0.7122710269	black
0.7090107143	turning pages
0.7083711336	free
0.7080773810	page turning
0.7078041910	current
0.7074249479	bluetooth
0.7040939005	home
0.7040858897	white
0.7031773810	page press
0.7024258156	original
0.7023468519	spot
0.7021859304	huge
0.7017729924	ipad
0.7015811896	audible
0.7004940476	paper white
0.6979455000	o2
0.6975107143	page turns
0.6958119784	amazon
0.6956133975	premium
0.6935682013	voyage
0.6932212212	gb
0.6928023810	battery life
0.6887607143	price point
0.6883275794	case
0.6880164158	book
0.6874939982	touchscreen
0.6863892788	edges
0.6862129135	battery
0.6856773810	page turn buttons
0.6848337404	paperwhite
0.6843037561	life
0.6837648660	single
0.6832134786	headphones
0.6805940476	32 gb
0.6798203866	auto
0.6796853990	backlight
0.6794972306	special
0.6781886647	refurbished
0.6781628009	money
0.6777055567	absolutely
0.6776029310	long
0.6770673304	kindles
0.6757534982	prior
0.6750895047	immersion
0.6749562116	nice
0.6743440476	change pages
0.6740421109	decided
0.6730107143	physical buttons
0.6727181605	lower
0.6720107143	black and white
0.6719832454	similar
0.6712777057	real
0.6710107143	font size
0.6706612894	brand
0.6703979310	test
0.6702279809	offers
0.6682246392	refresh
0.6681938627	fit
0.6671383010	close
0.6663300876	uneven
0.6656532154	increase
0.6652412996	reviewers
0.6618654294	charger
0.6612250000	audio books
0.6608086331	great
0.6592175498	hard
0.6581217979	added
0.6565331744	32gb
0.6560107143	kindle keyboard
0.6550627650	order
0.6546363446	aluminum
0.6540647563	carry
0.6528154683	stars
0.6523181040	touch
0.6521789948	factor
0.6516678536	supposed
0.6510377275	software
0.6509504621	pool
0.6508296431	font
0.6506467409	1st
0.6505832007	waterproof
0.6504732537	extended
0.6493450011	periods
0.6492472650	generation
0.6489381548	early
0.6487499850	ink
0.6485153411	number
0.6466915758	disappointment
0.6464949234	entire
0.6463901654	audio
0.6455581186	love
0.6437058593	listen
0.6434472806	metal
0.6429500566	paper
0.6414079157	bit
0.6411684680	crisp
0.6405925898	glass
0.6402253860	handed
0.6401430325	box
0.6400566767	replacement
0.6397876752	connect
0.6388058121	hour
0.6384038647	tablet
0.6380860212	cost
0.6374940476	immersion reading
0.6372611777	background
0.6371773810	larger screen size
0.6369005572	contrast
0.6353439622	reading
0.6353342827	avid
0.6351963431	customer
0.6341635746	price
0.6341202025	week
0.6336625790	pleased
0.6332695027	light
0.6331808764	usb
0.6331575843	fact
0.6331418888	older
0.6318116123	level
0.6317493540	update
0.6315758379	blue
0.6313314506	physical
0.6310306139	mode
0.6306689870	control
0.6302815932	leds
0.6302623167	bigger
0.6300090483	turns
0.6293023970	user
0.6290319230	switch
0.6287050500	page
0.6283117326	bed
0.6282309445	happy
0.6271111089	dx
0.6258952285	disappointed
0.6252170139	tub
0.6249818546	deal
0.6242529374	fan
0.6240764874	extra
0.6226923450	christmas
0.6225893856	form
0.6219680792	voyager
0.6211660499	recharge
0.6211660499	based
0.6211660499	service
0.6206492981	cover
0.6201612961	lot
0.6199292238	water
0.6197355099	2nd
0.6189447142	heavier
0.6187513872	turning
0.6185536242	amazons
0.6184806321	buy
0.6165493963	led
0.6164952435	perfect
0.6156943994	kind
0.6153593198	power
0.6146191679	goodreads
0.6140325934	library
0.6139070060	faster
0.6123440476	gen oasis
0.6113466512	night
0.6109953139	worry
0.6107042123	inch
0.6103364985	compared
0.6099273810	an avid reader
0.6095993095	easier
0.6094662987	reason
0.6094467428	press
0.6089155749	books
0.6087129671	difficult
0.6080218151	shape
0.6068657181	bright
0.6059428577	product
0.6043638715	device
0.6043375651	improvement
0.6030044052	adjust
0.6029754771	memory
0.6028215561	kobo
0.6027130952	brand new
0.6026387020	harder
0.6017815429	open
0.6016672767	buttons
0.6001922768	model
0.5997335312	edge
0.5996146309	capability
0.5991366339	origami
0.5985699436	lighter
0.5981677000	support
0.5980017455	store
0.5976773810	5 stars
0.5976670044	display
0.5969273810	new features
0.5956044852	half
0.5945940476	first generation
0.5943152132	issue
0.5942740884	hours
0.5933145422	lighting
0.5930315609	recommend
0.5923440476	audible books
0.5921797927	big
0.5913911184	return
0.5904238814	basic
0.5900900949	end
0.5898026405	easy
0.5896509140	previous
0.5892828662	wanted
0.5883774976	difference
0.5876955309	ability
0.5872250000	an e reader
0.5866122869	review
0.5849449395	sharp
0.5839565084	screen
0.5838751554	high
0.5832880101	download
0.5830129747	unit
0.5823788367	weeks
0.5808504123	text
0.5803908089	tapping
0.5788413881	reader
0.5784798406	option
0.5779944633	button
0.5774522167	left
0.5773440476	full charge
0.5771407037	owned
0.5768866909	hands
0.5768220388	readers
0.5754311759	forward
0.5751773810	bigger screen
0.5743567083	charge
0.5737026045	models
0.5735472003	upgrade
0.5734018091	awkward
0.5733935018	magnetic
0.5733440476	one handed
0.5719328369	worth
0.5715076120	imagine
0.5709151018	small
0.5706326185	forget
0.5703520516	years
0.5698984163	eyes
0.5698440476	hours of reading
0.5692776029	wireless
0.5680725780	issues
0.5680401014	larger
0.5679120899	feel
0.5675248785	hand
0.5674017603	waiting
0.5673976569	point
0.5673126275	bold
0.5671427255	images
0.5671355500	amazon's
0.5668981334	needed
0.5667729092	grip
0.5658307045	magazines
0.5657564849	turn
0.5655970012	read
0.5655917703	reads
0.5651984202	live
0.5651984202	stick
0.5651984202	pricey
0.5651984202	lose
0.5651984202	depending
0.5649970205	bad
0.5649283842	problem
0.5639513436	set
0.5634033070	pages
0.5628361879	quality
0.5623440476	easier to hold
0.5623084331	honestly
0.5621511940	app
0.5616197285	previously
0.5605783046	size
0.5590773810	light weight
0.5586531576	experience
0.5585087644	hold
0.5583440476	easy to hold
0.5583440476	other reviewers
0.5574019971	version
0.5563055592	quick
0.5559184275	accidental
0.5556415918	cellular
0.5555940476	an hour
0.5548440476	absolutely love
0.5545682056	brightness
0.5535881091	cell
0.5532589898	adding
0.5532589898	starting
0.5532588016	features
0.5530107143	page turn
0.5528146202	dictionary
0.5524110494	bump
0.5523638565	longer
0.5523469606	wake
0.5522195426	tablets
0.5521773810	reading experience
0.5519524739	lots
0.5519276202	change
0.5517263634	design
0.5517128060	release
0.5509779991	today
0.5503948282	note
0.5503307561	coming
0.5496541270	ambient
0.5496541270	ended
0.5493440476	reading in bed
0.5491845249	collections
0.5486188659	guess
0.5472832839	comfortable
0.5471778459	wifi
0.5465247732	stay
0.5461367155	lost
0.5459534336	weight
0.5455719322	send
0.5451773810	previous kindles
0.5450095192	days
0.5449630952	metal back
0.5449478703	technical
0.5448489464	feels
0.5436715402	feature
0.5424207203	works
0.5419387048	hoping
0.5419387048	gave
0.5419387048	minor
0.5419387048	world
0.5405029194	sleep
0.5401003383	pair
0.5377418248	controls
0.5377418248	offer
0.5377418248	illumination
0.5377418248	play
0.5373878138	dpi
0.5365583333	page forward
0.5358916667	2 3
0.5356753632	thing
0.5329525105	keeping
0.5329525105	built
0.5329525105	style
0.5329525105	switching
0.5329525105	totally
0.5327468894	swipe
0.5324107143	first gen
0.5323440476	comfortable to hold
0.5316773810	works great
0.5314484939	updates
0.5312221287	flaws
0.5312221287	adjustment
0.5312221287	beach
0.5312221287	connection
0.5312221287	flips
0.5312221287	finish
0.5309974415	loud
0.5295058565	sensitive
0.5279399565	total
0.5272439715	jack
0.5263981010	low
0.5251956373	comparison
0.5248440476	hard to hold
0.5243774151	havent
0.5243774151	construction
0.5242603779	increased
0.5235493839	enjoying
0.5233181457	body
0.5232632180	wrong
0.5232632180	solid
0.5230153652	months
0.5228797619	per day
0.5217592299	performance
0.5217592299	usage
0.5217592299	choose
0.5217592299	technology
0.5217592299	cable
0.5217592299	knew
0.5217592299	materials
0.5217049640	stand
0.5213641444	spend
0.5208067279	base
