0.9610000000	iphone 6
0.7959781044	battery
0.7470767930	apple
0.7113326937	iphone
0.6768862425	amazon
0.6579886533	money
0.6039050300	buy
0.6028699496	refurbished
0.6028440039	phone
0.5950000000	certified refurbished
0.5875564513	certified
0.5536073116	return
0.5484967354	works
0.5375226988	bought
0.5293511519	device
0.5293511519	review
0.5022931069	seller
0.4982057096	purchased
0.4629075016	screen
0.4621047969	worked
0.4560000000	an iphone
0.3680000000	the phone
0.3460000000	the battery
0.3408615673	6
0.2892691687	an
0.2609313107	the
0.2089317689	very
0.2008060945	i
0.1927328441	time
0.1796690339	i'm
0.1694791204	took
0.1660767338	no
0.1654904508	this
0.1652369531	or
0.1586664794	when
0.1568172711	has
0.1564022297	up
0.1549475397	it's
0.1534558928	at
0.1503207759	don't
0.1465215142	both
0.1446403960	we
0.1395021917	as
0.1387766378	now
0.1362970218	just
0.1357451082	new
0.1352842155	so
0.1347728547	even
0.1343948630	came
0.1338005629	they
0.1331966706	get
0.1326105158	on
0.1320979986	would
0.1320555416	been
0.1302606738	you
0.1288234344	had
0.1281638758	from
0.1280766185	one
0.1265006546	if
0.1263557278	my
0.1252971617	are
0.1251466706	back
0.1242904897	it
0.1240473060	have
0.1236077681	two
0.1230330903	but
0.1229113654	be
0.1215150374	not
0.1203925190	of
0.1195139102	that
0.1175227273	for
0.1154007835	in
0.1154007835	with
0.1147901614	and
0.1144806109	was
0.1144806109	is
0.1129625296	to
0.1129625296	a
